Job Title,Company,Job Description,Job Type,Skills,Visualization Tools
Data Engineer,PT I Like Gym Indonesia,"Job Descriptions:Perform data exploration, data cleaning, data imputation, and feature engineering on unstructured and structured dataDesign, Develop and maintain report used for daily operation, management and analyticsBuild the infrastructure for optimal extraction, transformation, and loading (ETL) of data from a wide variety of data sources.Develop and maintain all data flows and prepare all ETL processes according to business requirements and incorporate all business requirements into all design specificationsIdentifying, designing and implementing internal process improvements including re-designing infrastructure for greater scalability, optimizing data delivery, and automating manual processesBuild analytics tools that utilize the data pipeline to provide actionable insightsExplore ways to enhance data quality and reliability Explore ways to enhance data quality and reliabilityDocument all test procedures for systems and processesJob Requirements:Bachelor's degree from computer science or related fields, or equivalent software engineering experienceAdvanced SQL knowledge and experience working with relational databases, query authoring (SQL). Preferably on MS SQLAdvanced Knowledge in reporting service tools. Preferably Microsoft SSRSAdvanced Knowledge in ETL / data pipeline applications. Preferably Microsoft SSISExperienced in performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvementHave an understanding and experience regarding the reporting dashboard and data warehouse conceptsExperienced in object-oriented/object function scripting languages: Python, Java, C#,C++,Proficiency in source control i.e. GitGot 2+ years of experience in Data Engineering roleFamiliar with Azure ETL product like Azure Data Factory, Azure Synapse, Azure Datalake, Azure Devops would be a great addition",Penuh waktu,"['SQL', 'Python', 'Azure']",['Unknown']
Data Science Internship,PT. Cakra Radha Mustika,"Requirements :Min. Bachelor’s Degree in Statistics,  Math, and Science, Final year student are welcome to apply.Able to work with a team, have excellent analytical, problem solving skills, and can work under pressure.Detail oriented, strives to focus, and open to learn a new things.Understand statistical modeling such as regression and others.Familiar with SQL and R/Phyton for processing data.Willing to hybrid working in East Jakarta area.Having strong skills in Excel or Data Analytic system.Ability to manage multiple priorities and meet deadlines.Proactive and have the eagerness to learn and grow beyond limits.",Kasual,"['SQL', 'R', 'Excel']",['Unknown']
Internship Data Quality and Service Desk,PT Crif Lembaga Informasi Keuangan,"Job roleThe Data Quality Intern will responsible for the quality of the data processing which include reconcile data, monitor compliance to regulations being analytical to the whole process.ResponsibilitiesData QualityMonitoring data submission from clientsEnsure that all clients who submit reports comply with the regulationReviewing reports and other documents to ensure accuracyMonitoring the quality of incoming data to identify any errors or inconsistencies that may need to be corrected.Creating reports that detail the quality of data from clientsSupport daily operation departmentService DeskUnderstand product and able to present product features to clientsAnswer questions and provide solutions to issues raised by clientsMonitor onboarding process and create related reportsQualifications• A bachelor’s degree or final year student, preferably in IT, Math, Economics, Computer Science, Information Management, or Statistics.• Proficiency to communicate in English.• Ability to communicate with others both internal and external party.• Having interest and passion for working in a complex data domain and dynamic business environment.",Kontrak,['Unknown'],['Unknown']
Data Analyst,PT HEJAZ FINANCIAL SERVICES,"The Data Analyst will work under the supervision of our experienced and highly supportive Portfolio Analyst to help drive the commercial portfolio data strategy. The role will lead in developing end-to-end data pipeline strategy using advanced Excel program for conducting data processing and analyses.To be successful in this role you must have significant hands-on experience in building data pipeline and analytics tools and processes and you must have advanced level of Excel and data analytic skills.Main ResponsibilitiesBuild end-to-end data pipeline strategy for investment team, harnessing advanced Excel functions and Power BI for collecting, reporting, and elevating data tracking proficiency.Develop a VBA prototype model to automate data retrieval from Excel, perform essential calculations, and populate dashboard reports and PowerPointConstruct an Excel program for processing, collating and validating data.Source and consolidate information from asset and investment managers, fund accountants, market commentators and other subject matter experts to deliver value-added insights.Assist with operational matters including maintenance of finance-related tasks and customer management system.Essential RequirementsMust have good communication skills in English, verbally and in written.Tertiary qualifications in Finance, Accounting, Statistics, Mathematics, IT or in a business-related discipline highly regarded.Experience in data modelling, data visualisation, data manipulation (extract, transform, load), and predictive analytics.Advanced level of competency with Microsoft Excel programming using Power BI, VBA, Python, Pivot Table and Macro.Knowledge and experience with other data analytic tools such as SQL, Python, R, etc. highly regarded.Advanced numerical, reconciliation and problem-solving skills.High level of attention to detail and good organisational skills.Desirable Experience and SkillsPrevious experience in data processing for investment and resource portfolio highly regarded.Experience in banking and financial services industry highly regarded.Experience of working in a fast-paced and medium enterprise environment highly regarded.It is a great opportunity to be part of a fast-growing organisation with opportunities for career development and progression. In return, you will be rewarded for your drive to make positive impact to the Hejaz team.To submit your application, please click on “Apply” to send your CV and cover letter. Only shortlisted applicants will be contacted.We reserve the right to close this vacancy early if we have received sufficient applications and suitable applicants have been selected for the role. Therefore, if you are interested, please submit your application as early as possible.Learn more about Hejaz and our business by visiting our website: https://www.hejazfs.com.au/",Penuh waktu,"['SQL', 'Python', 'R', 'Excel']",['power bi']
Corporate Data Scientist Head,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk","Responsibilities :Bertanggung jawab dalam pengumpulan informasi, riset, dan analisa terkait permasalahan yang sering terjadi di industri multifinance, serta menciptakan pendekatan dan inisiatif yang bertujuan untuk pencapaian target bisnis serta pengembangan perusahaan.Qualifications :Memiliki pengalaman kerja di consultant/fintech industry atau berpengalaman dalam handling project.Pengetahuan mengenai machine learning, algoritma AI, membangun model khusus, maintaining clean data set.Pengetahuan mengenai bahasa pemrograman R atau PythonPengetahuan mengenai MapReduce, Hadoop, Hive, Spark, dan MySQL",Penuh waktu,"['R', 'MySQL', 'Machine Learning', 'Hadoop', 'spark', 'Hive', 'MapReduce']",['Unknown']
Machine Learning Engineer,Pengiklan Privat,"Job Description:As a Machine Learning Engineer, you will contribute to the development and training of advanced AI language models like ChatGPT. You will be part of a team focused on innovations in machine learning and artificial intelligence, aiming to create systems capable of understanding and responding in a natural and useful manner.Main Responsibilities:Model Development: Designing, developing, and training machine learning models for natural language processing.Optimization and Maintenance: Monitoring, evaluating, and improving model performance.Team Collaboration: Collaborating with data scientists, engineers, and researchers to implement innovative solutions.Research: Conducting state-of-the-art research in machine learning and NLP to discover new applicable methods.Documentation: Providing comprehensive and clear technical documentation.Qualifications:Bachelor's degree (or higher) in Computer Science, Engineering, Mathematics, or related field.Practical experience in machine learning, especially NLP and language models.Proficiency in programming languages like Python and machine learning frameworks such as TensorFlow or PyTorch.Experience with optimization techniques and natural language processing.Strong analytical and problem-solving skills.Knowledge of Vector Database: Familiarity with vector databases and their application in managing and searching through large-scale data in machine learning contexts.Additional Skills (Optional):Experience with transformer models and techniques for training large-scale models.Publications or contributions to AI-related projects or research.Ability to work with large datasets and data processing tools like SQL, Spark, or Hadoop.",Penuh waktu,"['SQL', 'Python', 'Database', 'Machine Learning', 'tensorflow', 'Hadoop', 'spark']",['Unknown']
Data Engineer - Jakarta - WFO (ID:  588003),PT. PERSOLKELLY Recruitment Indonesia,"2+ years of experience using Data Visualization Tools (Power BI is preferred)Experience in ETL/ELT processes and data integration techniquesExpert in pulling large and complex data using SQLExperience in programming language of PythonExperience in query performance tuningExperience using AWSExperience creating Data MartPoin plus if having knowledge in AWS services such as Glue, Lambda, S3, Redshift",Kontrak,['AWS'],['power bi']
Big Data Scientist,PT Unirama Duta Niaga,"Company DescriptionUnirama Duta Niaga (UDN) is among the most prominent distribution companies in Indonesia with 50 years of experience. The firm specializes in consumer goods and has multiple branches in various cities.Since its inception in 1971, Unirama has evolved into an FMCG supplier, catering to a diverse range of products, including ingredients and household appliances.Responsibilities:1. Data Modeling and Analysis:- Design and implement efficient MongoDB data models for optimal performance.- Conduct in-depth analysis of large datasets to extract meaningful business insights.2. Data Integration:- Collaborate with cross-functional teams to integrate data from various sources into the MongoDB environment.- Ensure data consistency, accuracy, and availability for analytical purposes.3. Algorithm Development:- Develop advanced algorithms for predictive analytics and machine learning using MongoDB as a primary data store.- Implement and optimize algorithms to support real-time data processing.4. Performance Optimization:- Identify and address performance bottlenecks in MongoDB databases.- Optimize queries and indexing strategies to enhance overall system efficiency.5. Data Visualization:- Create compelling visualizations to communicate complex data insights to non-technical stakeholders.- Work closely with business analysts to understand reporting requirements and deliver actionable visualizations.Qualifications:- Bachelor's or Master's degree in Computer Science, Data Science, or a related field.- Proven experience (3+ years) as a Big Data Scientist with a focus on MongoDB.- Strong proficiency in MongoDB database design, querying, and administration.- Advanced skills in data analysis, statistical modeling, and machine learning.- Proficiency in programming languages such as Python, Java, or Scala.- Experience with big data technologies and frameworks (e.g., Hadoop, Spark) is a plus.- Excellent communication and collaboration skills.",Penuh waktu,"['Python', 'Database', 'Machine Learning', 'MongoDB', 'Hadoop', 'spark', 'Big Data']",['Unknown']
Data Analyst,PT PERMODALAN NASIONAL MADANI,"Kualifikasi :Maksimal berusia 30 tahun;Pendidikan Minimal S1 jurusanStatistika, Matematika,atau bidang terkait;Memiliki pengalaman bekerja minimal 1 tahun di bidang manajemen risiko;Mahir dalam mengoperasikan Microsoft Excel dan/atau software pengelolaan data lainnya;Memahami bahasa pemrogramanSQLdan/atau bahasa pemrograman lainnya;Mampu mengoperasikan database dalam skala besar(Big data);Mampu bekerja secara individu dan tim.",Penuh waktu,"['Database', 'Big Data', 'Excel']",['Unknown']
Data Analyst,PT PRIMA TUNGGAL MANDIRI,"Data AnalystPT. Prima Tunggal Mandiri saat ini memerlukan3 orangdata analyst.Deskripsi Pekerjaan :Membuat data monitoring sell out, Building Block dan AR Collection secara harianMembuat data laporan terkait program marketing yang sedang berlangsung secara harianMembuat MOM pada saat ada meeting harian, mingguan dan bulananUpload dan tracking terkait data stok dan insentive dari tim salesMembuat laporan Service level, history pelunasan AR, Productivity, dan SISO secara bulanan.Kualifikasi :Min. Pendidikan S1Memiliki Pengalaman di bidang data analyst selama 2 tahunMenguasai Ms. Excel minimal rumus dasar dan pivot tablePaham mengenai google spreadsheet dan google formMemiliki ketelitian dan analisa yang tinggiMampu bekerja di bawah tekananMemiliki integritas yang tinggi, bertanggung jawab dan dapat bekerja dengan target secara tim maupun individu",Penuh waktu,['Excel'],['Unknown']
Staff Data Analyst,PT Makmur Lestari Primatama,"Kualifikasi :Minimal Pendidikan S1 dari Matematika, Statistik, Ekonomi/Accounting/Pajak atau HukumMemiliki 1 tahun pengalaman dalam bidang yang sesuai untuk data analyst (Lulusan baru, silakan apply)Advance dalam Microsoft Word. Excel, Power PointBerinisiatif tinggi dalam melakukan pekerjaanTeliti dan rapih dalam penyimpanan dataMempunyai kemampuan follow up yang bagusterbiasa melakukan perhitungan yang rumitMempunyai keterampilan analitis dan sikap kritis yang kuat dengan kemampuan untuk menciptakan gagasan yang dapat ditindaklanjuti dari peristiwaMemiliki ketelitian, daya analisa serta kemampuan follow up yang baikMampu mengumpulkan data, membersihkan data dan menyajikan dalam laporanBertanggungjawab, tahan terhadap tekanan dan mampu bekerja secara tim maupun secara individuTugas :Mengumpulkan data dari site untuk dilakukan analisaMonitoring laporan di google sheet serta data studioMerekap dan menganalisa data tentang aktivitas pertambanganBekerja sama dengan divisi lain untuk mendapatkan data yang valid dan dapat diandalkan.",Kontrak,['Excel'],['Unknown']
Data Analis,PT ADS KOMUNIKASI INDONESIA,"Data AnalisRequirement:1. Laki-laki/Perempuan2. Usia 20-28 tahun3. Diutamakan jurusan S1 Statistika, Matematika atau Teknik4. Mahir menggunakan Excel dan Power Point5. Memiliki kemampuan analisa yang baik6. Terbiasa bekerja dengan deadline7. Terbiasa mengolah ribuan data8. Detail dan Teliti9. Fresh graduate silakan melamarJob Des:1. Melakukan analisis data statistik2. Melakukan kolaborasi dengan team admin terkait data yang dibutuhkan3. Mengirimkan laporan rekap data sesuai kebutuhan",Kontrak,['Excel'],['Unknown']
Senior Data Engineer - Global Services Company,PT Michael Page Internasional Indonesia,"A global services company is looking for a Senior Data Engineer to be one of their key players for their cloud solutions.Client DetailsClient is a global services company.Description1. Business Intelligence and Data Translation:Analyze business needs and translate them into data services:This means understanding the company's goals and challenges, then identifying how data can be used to address them.Develop and manage data pipelines:This involves building automated processes to extract, transform, and load data into usable formats.Leverage new technologies for optimal solutions:Stay up-to-date on cutting-edge data tools and techniques to design efficient and scalable data solutions.2. Data Integration and Accessibility:Connect diverse data sources:This involves building bridges between various data sources, regardless of their format or location.Ensure data consistency and quality:Make sure data is accurate, complete, and consistent across all platforms and tools.Optimize data pipelines for reporting:Design and maintain data pipelines that deliver high-quality data for timely and accurate reporting.3. Teamwork and Collaboration:Partner with engineering and business teams:Work closely with other departments to build data solutions that meet their specific needs and requirements.Develop scalable and optimized data solutions:Design data infrastructure that can grow and adapt to the changing needs of the business.ProfileOver 1-4 years of experience with building the data pipelines or data ingestion for both Batch/Streaming data from different sources to data warehouse / data lakeHandson experience/knowledge with SQL/Python/Java/Scala programming, understanding of SQL is a mustExperience with any cloud computing platforms like AWS (S3, Lambda functions, RedShift, Athena), GCP (GCS, Dataflow, Dataproc, Pub/Sub, Bigquery), Azure (Blob/Azure, Synapse) etc.Experience/knowledge with Big Data tools (Hadoop, Hive, Spark, Presto)Data pipelines & orchestration tool (Ozzie, Airflow, Nifi)Any streaming engines (Kafka, Storm, Spark Streaming)Any relational database or data warehousing experienceAny ETL tool experience (Informatica, Talend, Pentaho, Business Objects Data Services, Hevo)Good communication skillsExperience in working independently and strong analytical skillsJob OfferJoin a well-known multinational company and chance for international exposureCompetitive Salary and BenefitTo apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Clairine Lonteng on+62 21 2958 8896.",Penuh waktu,"['SQL', 'Python', 'Azure', 'Database', 'AWS', 'GCP', 'Hadoop', 'spark', 'Hive', 'kafka', 'Airflow', 'talend', 'Big Data']",['Unknown']
DATA ENGINEER,PT Fastrata Buana (Distributor Kapal Api),"Menganalisa bisnis proses dan menganalisa struktur data, merancang model datawarehouse dan datamart dan membuat solusi big dataMempersiapkan, memanipulasi dan mengolah data serta membuat pipeline data integrasi (ETL/ELT/Realtime) dari berbagai sumber data sesuai dari kebutuhan yang telah didefinisikan di projectMembuat laporan dan mepersiapkan data untuk kebutuhan analisKualifikasi:Usia maksimal 30 tahunPendidikan minimal S1 Teknik InformatikaPengalaman di posisi yang sama minimal 3 tahunMemahami Database : Oracle, SQL Server, MySql, MariaDB, PostgreSql, MongodBMemahami Data Modeling dan Konsep Datawarehousing : Slowly Changing Dimension, Star Schema, Snowflake Schema, OLAP Database, Columnar DatabaseMemahami Data Integration : ETL Tools/Pipeline tools (Pentaho, Talend, SSIS, Informatica,AWS Glue, Kafka)Memahami Cloud :AWS (Prefered), Azure, Google CloudsMemahami Operating System LinuxMemahami Big Data : Hadoop, S3,AWSRedshift/Athena, Azure Synapse, Google BigQuery, Apache SparkCoding : SQL, Python/Java/NodeJS/.NETMemahami Konsep Machine Learning : Algoritma supervised learning & unsupervised learing and PythonMemahami Data Visualization : Power BI, TableauPenempatan : Kantor Pusat - Ciracas Jakarta Timur",Penuh waktu,"['SQL', 'Python', 'MySQL', 'Azure', 'Database', 'AWS', 'Machine Learning', 'Hadoop', 'kafka', 'talend', 'Big Data']",['power bi']
Data Analyst & Reporting,PT Mitra Elang Bersatu,"Role-Implement effective and efficient data processing and reporting solutions automatically-Collect and analyze data to produce reports on business performance.-Provides useful insights for business performance and reduce risk.-Involved in planning and implementing ongoing projects within the company Support data requests.-Integrate various data from systems used in various departments or business units.RequirementMin. D3/Bachelor degreeAt least 3 years of working experience in data analyst or reportingStrong skills using MS Office tools: Power point, Excel, etc.Database tools: MS. SQL Server and SASPersonal skills:Willing to be responsible and take challengesMaintain good communication within related party and take initiative to build collaboration effort",Penuh waktu,"['SQL', 'Database', 'Excel']",['Unknown']
Senior Data Engineer,PT Ewaysindo Makmur (Jakarta),"JOB REQUIREMENTSBachelor’s degree from an accredited university in Computer Science or relevant fieldAt least 3+ year work experience as a Data Engineer or Database Administrator in a related fieldIn-depth knowledge of SQL database and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.ETL tools knowledge is required.Fast and quick response and communicationBe proactive & solution orientedHave good communication skillData oriented, able to quantify and measurableExperience as a data analyst is a plusExperience using R, Python and Power BI is a strong plusJOB DESCRIPTIONCreate and maintain optimal data pipelines that clean, transform, and aggregate data across various sources.Develop PL/SQL, stored procedures, and ETL scripts to support the data required for CRM projects and analytics in general.Collaborate with data analysts and data engineers to develop comprehensive data reporting to meet business requirements.Develop models that can be used to make predictions and answer questions about the overall business needs.Monitor, refine, and improve the current data pipeline and architecture to be more effective and efficient.Analyse data, provide insight, and make recommendations to support business and improve processes.",Penuh waktu,"['SQL', 'Python', 'R', 'Database']",['power bi']
Supervisor Data Analyst,PT Multirasa Nusantara (YOSHINOYA Japanese Restaurant),"Kualifikasi :S1 di bidang finansial, komputer sains, statistik atau matematikaUsia maks. 28 thMemiliki pengalaman di bidang Data Analyst selama  2 tahunMampu menganalisisa dan menerjemahkan data berupa informasiPernah mengolah data dalam jumlah besarMampu merancangan, mengolah, memeliharaan sistem data /database, dananalisa statistikMampu menggunakan SAP dengan baik",Kontrak,['Database'],['Unknown']
Data Analyst,PT Mega Niaga Sejahtera,"Responsibilities :Mengelola pengembangan data warehouse yang diperoleh dari sumber primer dan sekunderBerkolaborasi dengan Divisi IT (Business Support) dalam penarikan sumber dataMengelompokkan data berdasarkan insight section di Divisi Sales & ChannelMenggunakan alat statistik untuk menafsirkan kumpulan data​Memelihara database dengan melakukan filterisasi dan pembersihan data secara berkalaRequirements :Pendidikan minimal S1 Manajemen, Ilmu Komputer, Manajemen Bisnis (IPK minimal 3,00 dari 4,00)Lulusan baru dengan pengalaman magang di bidang data dan kursus bersertifikat (analisis data)Pengalaman 1-2 tahun dalam Data Analis , Data Processing, Data Engineering atau visualization menjadi nilai tambahMemahami terkait Data AnalysisMampu bekerja sama dalam tim dengan baik",Penuh waktu,['Database'],['Unknown']
